locale,defaultfeedlocale
zh-AT,de-AT
zh-BE,en-BE
zh-BG,en-BG
zh-CY,en-CY
zh-CZ,en-CZ
zh-DK,en-DK
zh-EE,en-EE
zh-FI,en-FI
zh-FR,fe-FR
zh-DE,de-DE
zh-GR,el-GR
zh-HU,en-HU
zh-IE,en-IE
zh-IT,it-IT
zh-LV,en-LV
zh-LT,en-LT
zh-LU,en-LU
zh-LU,en-LU
zh-MT,en-MT
zh-MC,fr-MC
zh-NL,en-NL
zh-PL,pl-PL
zh-PT,en-PT
zh-RO,en-RO
zh-SM,en-SM
en-AT,en-AT
en-AE,en-AE
en-AL,en-AL
en-AT,en-AT
en-BG,en-BG
en-BY,en-BY
en-CH,en-CH
en-CY,en-CY
en-CZ,en-CZ
en-DK,en-DK
en-EE,en-EE
en-EG,en-EG
en-FI,en-FI
en-GB,en-GB
en-GR,en-GR
en-HR,en-HR
en-HU,en-HU
en-IE,en-IE
en-IL,en-IL
en-IT,en-IT
en-KR,en-KR
en-KW,en-KW
en-KZ,en-KZ
en-LB,en-LB
en-LT,en-LT
en-LV,en-LV
en-MA,en-MA
en-ME,en-ME
en-MK,en-MK
en-MT,en-MT
en-MX,en-MX
en-NL,en-NL
en-NO,en-NO
en-PL,en-PL
en-PT,en-PT
en-RO,en-RO
en-RS,en-RS
en-RU,en-RU
en-SE,en-SE
en-SI,en-SI
en-SK,en-SK
en-SM,en-SM
en-UA,en-UA
en-US,en-US
en-VN,en-VN
fr-AT,de-AT
fr-BE,en-BE
fr-BG,en-BG
fr-CY,en-CY
fr-CZ,en-CZ
fr-DK,en-DK
fr-EE,en-EE
fr-FI,en-FI
fr-FR,fr-FR
fr-DE,de-DE
fr-GR,el-GR
fr-HU,en-HU
fr-IE,en-IE
fr-IT,it-IT
fr-LV,en-LV
fr-LT,en-LT
fr-LU,en-LU
fr-MT,en-MT
fr-MC,fr-MC
fr-NL,en-NL
fr-PL,pl-PL
fr-PT,en-PT
fr-RO,en-RO
fr-SM,it-SM
fr-SK,en-SK
fr-SI,en-SI
fr-ES,es-ES
